"date","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90","variable","type"
2021-02-17,0,0.5,0.7,0,0,0,0.4,1,2,"reported_cases","estimate"
2021-02-18,25,25.7,5.3,18,22,24,27,29,35,"reported_cases","estimate"
2021-02-19,27,27.1,5.4,19,23,26,28,31,36,"reported_cases","estimate"
2021-02-20,27,27.2,5.4,19,23,26,28,31,36,"reported_cases","estimate"
2021-02-21,26,26.6,5.4,18,23,25,28,30,36,"reported_cases","estimate"
2021-02-22,24,24.1,5.2,16,20.8,23,25,27,33,"reported_cases","estimate"
2021-02-23,23,23.1,4.8,15,20,22,24,26,31,"reported_cases","estimate"
2021-02-24,25,24.9,5.1,17,21,23,26,28,33,"reported_cases","estimate"
2021-02-25,24,24.3,5.1,17,21,23,25,28,33,"reported_cases","estimate"
2021-02-26,23,23.8,5.1,16,20,22,25,27,33,"reported_cases","estimate"
2021-02-27,22,21.8,4.8,14,19,20,23,25,30,"reported_cases","estimate"
2021-02-28,23,23.4,5,16,20,22,25,27,32,"reported_cases","estimate"
2021-03-01,28,28.1,5.6,20,24,26,29,32,38,"reported_cases","estimate"
2021-03-02,29,29.1,5.6,20,25,27,30,33,38,"reported_cases","estimate"
2021-03-03,28,28.4,5.5,20,25,27,30,32,38,"reported_cases","estimate"
2021-03-04,32,32.1,5.9,23,28,30,33,36,42,"reported_cases","estimate"
2021-03-05,32,31.6,5.9,22,28,30,33,36,41,"reported_cases","estimate"
2021-03-06,28,28.2,5.4,20,24,27,29,32,37,"reported_cases","estimate"
2021-03-07,26,26.4,5.2,18,23,25,27,30,35,"reported_cases","estimate"
2021-03-08,25,24.6,5.2,16,21,23,26,28,33,"reported_cases","estimate"
2021-03-09,29,29,5.6,20,25,27,30,33,38,"reported_cases","estimate"
2021-03-10,26,26.7,5.5,18,23,25,28,30,36,"reported_cases","estimate"
2021-03-11,23,23.8,5,16,20,22,25,27,32,"reported_cases","estimate"
2021-03-12,21,20.8,4.7,14,17,19,22,24,29,"reported_cases","estimate"
2021-03-13,17,17.3,4.3,10,14,16,18,20,24,"reported_cases","estimate"
2021-03-14,22,22.2,5,15,19,21,23,26,31,"reported_cases","estimate"
2021-03-15,23,23,4.9,15,20,21,24,26,31,"reported_cases","estimate"
2021-03-16,25,25,5.1,17,22,24,26,28,34,"reported_cases","estimate"
2021-03-17,26,26.5,5.3,18,23,25,28,30,35,"reported_cases","estimate"
2021-03-18,27,26.7,5.2,18,23,25,28,30,36,"reported_cases","estimate"
2021-03-19,25,25,5.3,17,21,24,26,28,34,"reported_cases","estimate"
2021-03-20,24,24.5,5.3,16,21,23,26,28,34,"reported_cases","estimate"
2021-03-21,27,27.3,5.5,19,23,26,28,31,37,"reported_cases","estimate"
2021-03-22,29,28.8,5.6,20,25,27,30,32.2,38,"reported_cases","estimate"
2021-03-23,30,30.1,5.6,21,26,29,31,34,40,"reported_cases","estimate"
2021-03-24,30,30.3,5.7,21,26,29,32,34,40,"reported_cases","estimate"
2021-03-25,33,33.6,6.1,24,29,32,35,38,44,"reported_cases","estimate"
2021-03-26,41,40.8,6.6,30,36,39,42,45,52,"reported_cases","estimate"
2021-03-27,44,43.7,7,33,39,42,45,48,55,"reported_cases","estimate"
2021-03-28,45,45,7.1,34,40,43,47,50,57,"reported_cases","estimate"
2021-03-29,45,44.9,7.1,33.9,40,43,46,50,57,"reported_cases","estimate"
2021-03-30,47,47.6,7.3,36,43,45,49,52,60,"reported_cases","estimate"
2021-03-31,47,47.5,7.2,36,42.8,45,49,52,60,"reported_cases","estimate"
2021-04-01,54,54.6,7.9,42,49,52,56,60,68,"reported_cases","estimate"
2021-04-02,55,55.4,7.8,43,50,53,57,61,69,"reported_cases","estimate"
2021-04-03,59,59.5,8.3,46,54,57,61,65,73,"reported_cases","estimate"
2021-04-04,62,62,8.4,49,56,60,64,68,76,"reported_cases","estimate"
2021-04-05,64,64.2,8.6,50,58,62,66,70,79,"reported_cases","estimate"
2021-04-06,67,67.1,8.8,53,61,65,69,73,82,"reported_cases","estimate"
2021-04-07,70,69.9,9.1,55,63,67,72,76,85,"reported_cases","estimate"
2021-04-08,77,77.2,9.6,61,71,75,79,83,93,"reported_cases","estimate"
2021-04-09,87,87,10,71,80,84,89,93.2,104,"reported_cases","estimate"
2021-04-10,93,93.6,11,76,86,91,96,101,113,"reported_cases","estimate"
2021-04-11,94,94.2,10.9,76,87,91,97,101,112,"reported_cases","estimate"
2021-04-12,102,101.5,11.2,83,94,98,104.4,109,120,"reported_cases","estimate"
2021-04-13,101,101.5,11.8,83,93,98,104,109,121,"reported_cases","estimate"
2021-04-14,104,104.3,11.9,85,96,101,107,112,125,"reported_cases","estimate"
2021-04-15,104,103.9,11.7,85,96,101,107,112,123,"reported_cases","estimate"
2021-04-16,113,112.6,11.8,93.9,104,109.6,116,120,132,"reported_cases","estimate"
2021-04-17,119.5,120,12.1,101,112,116,123,128,140,"reported_cases","estimate"
2021-04-18,125,126.1,12.8,106,118,123,129,135,147,"reported_cases","estimate"
2021-04-19,121,121.1,12.7,101,112,118,124,129,142,"reported_cases","estimate"
2021-04-20,114,114.5,11.9,95.9,106,111,117,122,135,"reported_cases","estimate"
2021-04-21,116,115.9,12.3,97,107,112,119,124,137,"reported_cases","estimate"
2021-04-22,110,110,11.8,92,102,107,113,118,129,"reported_cases","estimate"
2021-04-23,107,107.3,11.6,89,100,104,110,115,126,"reported_cases","estimate"
2021-04-24,115,115,12.3,96,106,112,118,123,135,"reported_cases","estimate"
2021-04-25,118,118.5,12.5,98,110,115,121,127,140,"reported_cases","estimate"
2021-04-26,122,122.1,12.6,102,113,119,125,131,143,"reported_cases","estimate"
2021-04-27,121,121.2,12.7,101,113,118,124,130,142,"reported_cases","estimate"
2021-04-28,116,116,12.3,96,108,113,119,124,136,"reported_cases","estimate"
2021-04-29,112,112.6,12.1,93,104,109,116,121,133,"reported_cases","estimate"
2021-04-30,113,113,12.3,93,105,110,116,121,133,"reported_cases","estimate"
2021-05-01,110,110.1,12.5,90,101,107,113,118,132,"reported_cases","estimate"
2021-05-02,110,109.9,11.7,91,102,107,112,117,130,"reported_cases","estimate"
2021-05-03,105,105.5,11.8,86,98,103,108,113,125,"reported_cases","estimate"
2021-05-04,97,97.3,11.2,79.9,89,94,100,105,116,"reported_cases","estimate"
2021-05-05,92,92.6,10.6,75,85,90,95,100,110,"reported_cases","estimate"
2021-05-06,88,88.2,10.5,72,81,85,91,95,106,"reported_cases","estimate"
2021-05-07,89,89.1,10.1,73,82,86,91,96,106,"reported_cases","estimate"
2021-05-08,96,95.8,10.7,79,88,93,98,103,114,"reported_cases","estimate"
2021-05-09,86,85.7,10,70,79,83,88,92,102,"reported_cases","estimate"
2021-05-10,81,81.2,9.8,65,74.8,79,84,88,97,"reported_cases","estimate"
2021-05-11,83,83.1,10,67,76,80,85,90,100,"reported_cases","estimate"
2021-05-12,75,75.3,9.6,60,69,73,78,82,92,"reported_cases","forecast"
2021-05-13,76,76.6,9.6,62,70,74,79,83,93,"reported_cases","forecast"
2021-05-14,78,78.4,9.8,62,72,76,81,85,95,"reported_cases","forecast"
2021-05-15,77,77.8,9.9,62,71,75,80,85,94,"reported_cases","forecast"
2021-05-16,76,76.3,9.7,61,70,73,78,83,93,"reported_cases","forecast"
2021-05-17,74,74.2,9.7,60,68,71,76,80,91,"reported_cases","forecast"
2021-05-18,74,74.1,9.5,59,67,71,76,80,90,"reported_cases","forecast"
2021-05-19,73,72.9,9.6,57,66,70,75,79,90,"reported_cases","forecast"
2021-05-20,74,73.8,9.8,58,67,71,76,80,90,"reported_cases","forecast"
2021-05-21,75.5,75.7,9.6,60,69,73,78,82,92,"reported_cases","forecast"
2021-05-22,75,75.7,10.1,60,68,73,78,82,93,"reported_cases","forecast"
2021-05-23,74,74.6,10.1,59,68,72,76,81,92,"reported_cases","forecast"
2021-05-24,73,73.1,10.1,58,66,70,75,80,90,"reported_cases","forecast"
2021-05-25,72,72.8,10,57,66,70,75,79,90,"reported_cases","forecast"
