"date","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90","variable","type"
2021-01-29,1,0.7,0.9,0,0,0,1,1,2,"reported_cases","estimate"
2021-01-30,32,32.5,6,23,28,31,34,36,43,"reported_cases","estimate"
2021-01-31,33,33.5,6.3,24,29,32,35,38,44,"reported_cases","estimate"
2021-02-01,32,32.3,6,22,28,31,33.4,36,43,"reported_cases","estimate"
2021-02-02,29,29.6,5.7,21,26,28,31,33,39,"reported_cases","estimate"
2021-02-03,27,27.2,5.5,18,23,26,29,31,37,"reported_cases","estimate"
2021-02-04,26,26.1,5.3,18,22,25,27,29,36,"reported_cases","estimate"
2021-02-05,24,24.7,5.2,17,21,23,26,28,34,"reported_cases","estimate"
2021-02-06,22,22.2,4.9,14,19,21,23,25,31,"reported_cases","estimate"
2021-02-07,21,21,4.8,14,18,20,22,24,29,"reported_cases","estimate"
2021-02-08,23,23.2,5,15,20,22,24,26,32,"reported_cases","estimate"
2021-02-09,21,21.3,4.7,14,18,20,22,24,29,"reported_cases","estimate"
2021-02-10,18,18,4.4,11,15,17,19,21,25,"reported_cases","estimate"
2021-02-11,19,19,4.5,12,16,18,20,22,27,"reported_cases","estimate"
2021-02-12,15,15.6,4.1,9,13,14,17,18,22,"reported_cases","estimate"
2021-02-13,16,16.7,4.3,10,14,15,18,19,24,"reported_cases","estimate"
2021-02-14,21,21.2,4.8,14,18,20,22,24,29,"reported_cases","estimate"
2021-02-15,21,21,4.6,14,18,20,22,24,29,"reported_cases","estimate"
2021-02-16,23,23.2,5,15,20,22,24,26,32,"reported_cases","estimate"
2021-02-17,24,24,5.2,16,20,23,25,27,33,"reported_cases","estimate"
2021-02-18,25,25,5.3,16,21,23,26,29,34,"reported_cases","estimate"
2021-02-19,25,25.5,5.3,17,22,24,27,29,35,"reported_cases","estimate"
2021-02-20,27,27.1,5.5,19,23,26,28,31,36,"reported_cases","estimate"
2021-02-21,26,26.3,5.4,18,23,25,27,30,36,"reported_cases","estimate"
2021-02-22,24,23.9,5.3,15,20,22,25,27,33,"reported_cases","estimate"
2021-02-23,23,23,5,15,20,22,24,26,31,"reported_cases","estimate"
2021-02-24,25,25,5.2,17,21,23,26,28.2,34,"reported_cases","estimate"
2021-02-25,24,23.8,5,16,20,22,25,27,32,"reported_cases","estimate"
2021-02-26,22,22.3,4.9,15,19,21,24,26,31,"reported_cases","estimate"
2021-02-27,22,21.9,4.8,14,19,21,23,25,30,"reported_cases","estimate"
2021-02-28,23,23.1,5.1,15,20,22,24,26,32,"reported_cases","estimate"
2021-03-01,28,28.3,5.5,20,25,27,30,32,38,"reported_cases","estimate"
2021-03-02,29,29,5.7,20,25,27,30,33,39,"reported_cases","estimate"
2021-03-03,29,28.9,5.6,20,25,27,30,33,39,"reported_cases","estimate"
2021-03-04,32,31.8,5.8,23,28,30,33,36,42,"reported_cases","estimate"
2021-03-05,30,29.9,5.9,21,26,28,31,34,40,"reported_cases","estimate"
2021-03-06,28,28.7,5.8,19.9,25,27,30,33,38,"reported_cases","estimate"
2021-03-07,26,26.1,5.2,18,22,24.6,27,30,35,"reported_cases","estimate"
2021-03-08,25,25.1,5.3,17,21,24,26,28,34,"reported_cases","estimate"
2021-03-09,29,29.1,5.7,20,25,27,31,33,39,"reported_cases","estimate"
2021-03-10,27,26.9,5.4,18,23,25,28,30,36,"reported_cases","estimate"
2021-03-11,24,24,5.1,16,20,23,25,27,33,"reported_cases","estimate"
2021-03-12,20,19.7,4.6,12,17,18,21,23,28,"reported_cases","estimate"
2021-03-13,17,17.6,4.4,11,15,16,19,20,25,"reported_cases","estimate"
2021-03-14,22,22.1,4.9,14,19,21,23,25,30,"reported_cases","estimate"
2021-03-15,23,23.2,5.1,15,20,22,24,27,32,"reported_cases","estimate"
2021-03-16,25,25.4,5.3,17,22,24,26,29,34,"reported_cases","estimate"
2021-03-17,27,27,5.5,18,23,25,28,31,36,"reported_cases","estimate"
2021-03-18,27,26.9,5.4,18,23,25,28,30,36,"reported_cases","estimate"
2021-03-19,24,23.7,5.1,16,20,22,25,27,32,"reported_cases","estimate"
2021-03-20,25,25.1,5.1,17,22,24,26,29,34,"reported_cases","estimate"
2021-03-21,27,27.3,5.5,19,23,26,29,31,37,"reported_cases","estimate"
2021-03-22,28,28.2,5.6,19,24,26,29,32,37,"reported_cases","estimate"
2021-03-23,29,29.5,5.6,21,26,28,31,33,39,"reported_cases","estimate"
2021-03-24,30,29.8,5.7,21,26,28,31,34,40,"reported_cases","estimate"
2021-03-25,32,32.5,6.1,23,28,31,34,36,43,"reported_cases","estimate"
2021-03-26,38,38.3,6.7,28,34,36,40,43,49,"reported_cases","estimate"
2021-03-27,43,42.9,7.3,31,38,41,45,48,56,"reported_cases","estimate"
2021-03-28,43,43.6,7.2,32,39,42,45,48,56,"reported_cases","estimate"
2021-03-29,44,44.7,7.4,33,40,43,46,50,57,"reported_cases","estimate"
2021-03-30,46,46.7,7.5,35,42,45,48,51,60,"reported_cases","estimate"
2021-03-31,47,47.3,7.6,35,42,45,49,52,60,"reported_cases","estimate"
2021-04-01,53,53.4,7.8,41,48,51,55,59,66,"reported_cases","estimate"
2021-04-02,50,50.7,8.1,38,45,49,53,56,64,"reported_cases","estimate"
2021-04-03,57,57.2,8.1,44,52,55,59,62,71,"reported_cases","estimate"
2021-04-04,60,59.7,8.6,46,54,57,61,65,74,"reported_cases","estimate"
2021-04-05,63,63.6,9.1,49,57,61,66,70,79,"reported_cases","estimate"
2021-04-06,65,65.5,9.1,51,59,63,67,72,81,"reported_cases","estimate"
2021-04-07,70,69.8,9.3,54,63,67,72,76,85,"reported_cases","estimate"
2021-04-08,75,75,9.8,59,68,73,77,81,92,"reported_cases","estimate"
2021-04-09,81,81.6,10.8,65,74,79,84,88,100,"reported_cases","estimate"
2021-04-10,91,91.7,11.3,74,84,88,94,99,111,"reported_cases","estimate"
2021-04-11,91,91.2,11.1,73,84,88,94,99,110,"reported_cases","estimate"
2021-04-12,100,99.9,11.5,81,92,97,103,107,120,"reported_cases","estimate"
2021-04-13,100,100.5,12,81.9,92,97,103,109,121,"reported_cases","estimate"
2021-04-14,102,102.6,11.7,84,95,99,105,110,123,"reported_cases","estimate"
2021-04-15,99,99.7,11.5,81,92,96,102,107,119,"reported_cases","estimate"
2021-04-16,106,106.4,12.7,87,97,102.6,109,115,128,"reported_cases","estimate"
2021-04-17,114,114.9,12.4,95,106,111,118,123,136,"reported_cases","estimate"
2021-04-18,117,117.4,13,97,109,114,120,126,139,"reported_cases","estimate"
2021-04-19,114,114.6,13.1,93,106,111,117,123.2,136,"reported_cases","estimate"
2021-04-20,111,110.7,12.7,91,102,107,113,119,131,"reported_cases","estimate"
2021-04-21,112,112.1,12.6,92,103,109,115,120,133,"reported_cases","estimate"
2021-04-22,106,106.9,12.7,87,98,103,110,115,128,"reported_cases","estimate"
2021-04-23,102,101.7,12.1,82,94,98,105,109,121,"reported_cases","forecast"
2021-04-24,108,108.6,12.6,88,100,105,112,117,130,"reported_cases","forecast"
2021-04-25,104,104.6,11.9,85,96,101,108,113,124,"reported_cases","forecast"
2021-04-26,103,103.6,12.2,85,95,100,107,112,124,"reported_cases","forecast"
2021-04-27,102,102.7,12.2,83,94,100,106,111,122,"reported_cases","forecast"
2021-04-28,102,101.8,12.2,82,94,98,105,110,122,"reported_cases","forecast"
2021-04-29,101,101.2,12.3,82,93,98,104,109,122,"reported_cases","forecast"
2021-04-30,98,98.2,12.5,78,90,95,101,107,119,"reported_cases","forecast"
2021-05-01,104,104.6,13.4,84,95,101,108,114,127,"reported_cases","forecast"
2021-05-02,100,100.3,12.9,80,91,96,103,109,122,"reported_cases","forecast"
2021-05-03,99,100,13.3,80,91,96,102,108.2,123,"reported_cases","forecast"
2021-05-04,99,99.1,13.8,78,89,95,102,109,123,"reported_cases","forecast"
2021-05-05,97,97.5,13.7,77,88,93,100,106,120,"reported_cases","forecast"
2021-05-06,97,97.2,14.3,74,87,93,100,107,121,"reported_cases","forecast"
