"date","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90","variable","type"
2021-08-17,0,0.2,0.4,0,0,0,0,0,1,"reported_cases","estimate"
2021-08-18,3,3.3,1.8,1,2,3,4,5,7,"reported_cases","estimate"
2021-08-19,2,2.3,1.5,0,1,2,3,3,5,"reported_cases","estimate"
2021-08-20,4,4.6,2.2,1,3,4,5,6,8,"reported_cases","estimate"
2021-08-21,5,5,2.3,2,3,4,5,6,9,"reported_cases","estimate"
2021-08-22,6,6.3,2.5,2.9,5,6,7,8,11,"reported_cases","estimate"
2021-08-23,5,5.4,2.4,2,4,5,6,7,10,"reported_cases","estimate"
2021-08-24,3,3.2,1.8,1,2,3,3,4,6,"reported_cases","estimate"
2021-08-25,3,3.3,1.9,1,2,3,4,4,7,"reported_cases","estimate"
2021-08-26,6,5.8,2.6,2,4,5,6,7,10,"reported_cases","estimate"
2021-08-27,7,7,2.8,3,5,6,8,9,12,"reported_cases","estimate"
2021-08-28,8,8.7,3.2,4,7,8,9,11,14,"reported_cases","estimate"
2021-08-29,11,11.5,3.7,6,9,10,12,14,18,"reported_cases","estimate"
2021-08-30,10,10.4,3.6,5,8,9,11,13,17,"reported_cases","estimate"
2021-08-31,9,8.9,3.2,4,7,8,10,11,15,"reported_cases","estimate"
2021-09-01,7,7.6,3,3,5,7,8,10,13,"reported_cases","estimate"
2021-09-02,10,9.7,3.4,5,7,9,11,12,16,"reported_cases","estimate"
2021-09-03,9,9,3.2,4,7,8,10,11,15,"reported_cases","estimate"
2021-09-04,5,4.8,2.3,1,3,4,5,6,9,"reported_cases","estimate"
2021-09-05,5,5.1,2.4,2,3,4,5,7,9,"reported_cases","estimate"
2021-09-06,7,7.4,2.8,3,5,7,8,9,12,"reported_cases","estimate"
2021-09-07,8,8.1,3,4,6,7,9,10,13,"reported_cases","estimate"
2021-09-08,8,8.6,3.2,4,6,8,9,11,14,"reported_cases","estimate"
2021-09-09,8,7.8,2.9,3,6,7,8,10,13,"reported_cases","estimate"
2021-09-10,9,8.9,3.4,4,7,8,10,11,15,"reported_cases","estimate"
2021-09-11,7,6.7,2.7,3,5,6,7,9,12,"reported_cases","estimate"
2021-09-12,7,7.4,2.9,3,5,7,8,9,12,"reported_cases","estimate"
2021-09-13,8,8.4,3.1,4,6,7,9,10,14,"reported_cases","estimate"
2021-09-14,13,13.3,4,7,10,12,14,16,20,"reported_cases","estimate"
2021-09-15,10,10.4,3.4,5,8,9,11,13,17,"reported_cases","estimate"
2021-09-16,12,12.1,3.8,6,10,11,13,15,19,"reported_cases","estimate"
2021-09-17,10,10,3.4,5,8,9,11,12,16,"reported_cases","estimate"
2021-09-18,8,8.4,3,4,6,7,9,10,14,"reported_cases","estimate"
2021-09-19,8,8.5,3.2,4,6,7,9,11,14,"reported_cases","estimate"
2021-09-20,9,9.6,3.3,5,7,9,10,12,16,"reported_cases","estimate"
2021-09-21,11,10.8,3.5,5,8,10,11,13,17,"reported_cases","estimate"
2021-09-22,12,12.4,3.9,6,10,11,13,15,19,"reported_cases","estimate"
2021-09-23,16,16.2,4.6,9,13,15,17,19,24,"reported_cases","estimate"
2021-09-24,14,14,4.2,8,11,13,15,17,21,"reported_cases","estimate"
2021-09-25,15,15,4.4,8.9,12,14,16,18,23,"reported_cases","estimate"
2021-09-26,16,16.5,4.6,10,13,15,17,20,24,"reported_cases","estimate"
2021-09-27,17,17.4,4.8,10,14,16,18,20,26,"reported_cases","estimate"
2021-09-28,17,16.8,4.6,10,14,15,18,20,25,"reported_cases","estimate"
2021-09-29,18,18.6,4.8,11,15,17,20,22,27,"reported_cases","estimate"
2021-09-30,19,19.6,5,12,16,18,21,23,28,"reported_cases","estimate"
2021-10-01,17,17.5,4.7,10,14,16,18,20,26,"reported_cases","estimate"
2021-10-02,18,18.1,4.9,10,15,17,19,21,27,"reported_cases","estimate"
2021-10-03,14,14.3,4.3,8,11,13,15,17,22,"reported_cases","estimate"
2021-10-04,13,13.2,4.1,7,10,12,14,16,20,"reported_cases","estimate"
2021-10-05,9,8.8,3.2,4,6,8,9,11,14,"reported_cases","estimate"
2021-10-06,8,8,3,3.9,6,7,9,10,14,"reported_cases","estimate"
2021-10-07,7,7.6,3,3,5,7,8,9,13,"reported_cases","estimate"
2021-10-08,6,6.3,2.6,2,4,5,7,8,11,"reported_cases","estimate"
2021-10-09,4,4.6,2.2,1,3,4,5,6,9,"reported_cases","estimate"
2021-10-10,6,5.9,2.6,2,4,5,6,7,10,"reported_cases","estimate"
2021-10-11,6,5.9,2.6,2,4,5,6,8,10,"reported_cases","estimate"
2021-10-12,7,6.8,2.7,3,5,6,7,9,12,"reported_cases","estimate"
2021-10-13,7,7,2.8,3,5,6,8,9,12,"reported_cases","estimate"
2021-10-14,7,7.6,3,3,5,7,8,9,13,"reported_cases","estimate"
2021-10-15,5,5.1,2.3,2,3,4,6,7,9,"reported_cases","estimate"
2021-10-16,7,7.4,3,3,5,6,8,9,13,"reported_cases","estimate"
2021-10-17,8,8.3,3.1,4,6,7,9,10,14,"reported_cases","estimate"
2021-10-18,8,8.1,3,4,6,7,9,10,13,"reported_cases","estimate"
2021-10-19,9,8.9,3.2,4,7,8,10,11,14,"reported_cases","estimate"
2021-10-20,11,11.2,3.8,6,9,10,12,14,18,"reported_cases","estimate"
2021-10-21,12,12.1,3.9,6,9,11,13,14,19,"reported_cases","estimate"
2021-10-22,9,9.7,3.3,5,7,9,10,12,16,"reported_cases","estimate"
2021-10-23,7,7.3,2.9,3,5,6,8,9,12,"reported_cases","estimate"
2021-10-24,6,6.1,2.7,2,4,5,7,8,11,"reported_cases","estimate"
2021-10-25,6,6.1,2.6,2,4,5,7,8,10,"reported_cases","estimate"
2021-10-26,7,7,2.7,3,5,6,7,9,12,"reported_cases","estimate"
2021-10-27,9,9.3,3.3,4,7,8,10,11,15,"reported_cases","estimate"
2021-10-28,10,10.7,3.5,5,8,10,11,13,17,"reported_cases","estimate"
2021-10-29,12,12,3.8,6,9,11,13,14,19,"reported_cases","estimate"
2021-10-30,14,14.2,4.3,8,11,13,15,17,22,"reported_cases","estimate"
2021-10-31,17,16.9,4.6,10,14,15,18,20,25,"reported_cases","estimate"
2021-11-01,15,15.5,4.4,8,12,14,16,18,23,"reported_cases","estimate"
2021-11-02,14,14.1,4.1,8,11,13,15,17,21,"reported_cases","estimate"
2021-11-03,15,15.5,4.4,9,12,14,16,18,23,"reported_cases","estimate"
2021-11-04,17,17.4,4.7,10,14,16,18,20,25,"reported_cases","estimate"
2021-11-05,15,15.8,4.4,9,13,14,17,19,23,"reported_cases","estimate"
2021-11-06,17,17,4.8,10,14,15,18,20,25,"reported_cases","estimate"
2021-11-07,20,19.8,5.1,12,16,18,21,23,29,"reported_cases","estimate"
2021-11-08,23,23,5.7,14,19,21,24,27,33,"reported_cases","estimate"
2021-11-09,19,19.8,5.1,12,16,18,21,23,28,"reported_cases","forecast"
2021-11-10,21,21.2,5.4,13,17,20,22,25,31,"reported_cases","forecast"
2021-11-11,22,22.3,5.5,14,18,21,24,26,32,"reported_cases","forecast"
2021-11-12,18,18.5,5,11,15,17,19,22,27,"reported_cases","forecast"
2021-11-13,20,20.1,5.3,12,16,19,21,24,29,"reported_cases","forecast"
2021-11-14,22,22.5,5.7,14,19,21,23,26,33,"reported_cases","forecast"
2021-11-15,23,23.1,5.9,14,19,21,24,27,33,"reported_cases","forecast"
2021-11-16,22,21.9,5.8,13,18,20,23,26,32,"reported_cases","forecast"
2021-11-17,23,23.1,6.2,14,19,21,24,27,34,"reported_cases","forecast"
2021-11-18,25,25.4,6.7,15,21,23,26,30,37,"reported_cases","forecast"
2021-11-19,20,21.1,6.5,12,17,19,22,25,32,"reported_cases","forecast"
2021-11-20,23,23.6,7.4,14,19,21,24,28,36,"reported_cases","forecast"
2021-11-21,25,26.7,8.9,16,21,24,27,31,42,"reported_cases","forecast"
2021-11-22,26,27.2,9.4,15,21,24,28,31,44,"reported_cases","forecast"
