"date","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90","variable","type"
2021-03-28,1,1.5,1.3,0,1,1,2,2,4,"reported_cases","estimate"
2021-03-29,46,46.1,7.2,35,41,44,48,51,58,"reported_cases","estimate"
2021-03-30,48,48.3,7.3,36,43,46,50,53,61,"reported_cases","estimate"
2021-03-31,47,47.4,7.4,35.9,43,45,49,52,60,"reported_cases","estimate"
2021-04-01,56,55.8,7.8,43,50,54,58,61,69,"reported_cases","estimate"
2021-04-02,55,55.6,8.2,43,50,53,57,61,70,"reported_cases","estimate"
2021-04-03,60,60.3,8.5,47,54,58,62,66,75,"reported_cases","estimate"
2021-04-04,64,64,8.7,50,58,62,66,69.2,79,"reported_cases","estimate"
2021-04-05,65,65,8.8,50.9,59,63,67,71,80,"reported_cases","estimate"
2021-04-06,67,67,9,53,61,65,69,73,82,"reported_cases","estimate"
2021-04-07,68,68.3,9.1,54,62,66,70,74,84,"reported_cases","estimate"
2021-04-08,78,77.8,9.7,62,71,75,80,84,94,"reported_cases","estimate"
2021-04-09,85,84.8,10.3,69,78,82,87,91,102,"reported_cases","estimate"
2021-04-10,93,93,10.6,76,86,90,96,100,111,"reported_cases","estimate"
2021-04-11,95,95.4,10.8,78,88,92,98,102,114,"reported_cases","estimate"
2021-04-12,100,100.2,11.3,82,92,97,103,108,119,"reported_cases","estimate"
2021-04-13,99,99.5,11.3,82,92,96,102,107,119,"reported_cases","estimate"
2021-04-14,102,101.7,11.4,84,94,98,104,109,121,"reported_cases","estimate"
2021-04-15,103,103.1,11.5,85,95,100,106,111,122,"reported_cases","estimate"
2021-04-16,109,108.9,12.1,90,100,106,112,117,129,"reported_cases","estimate"
2021-04-17,118,118.5,12.2,99,110,115,121,127,138,"reported_cases","estimate"
2021-04-18,127,127.6,13.2,106,119,124,131,137,149,"reported_cases","estimate"
2021-04-19,120,120.3,12.4,99,112,117,123,129,141,"reported_cases","estimate"
2021-04-20,112,112.8,11.8,94,105,110,115,120,133,"reported_cases","estimate"
2021-04-21,112,112.3,12.1,93,104,109,115,120,132,"reported_cases","estimate"
2021-04-22,110,110.4,12.3,90,102,108,114,119,131,"reported_cases","estimate"
2021-04-23,105,105.7,11.6,87,97,103,109,114,126,"reported_cases","estimate"
2021-04-24,114,114,12.1,95,106,111,117,122,134,"reported_cases","estimate"
2021-04-25,120,119.8,12.2,100,112,117,122.4,128,140,"reported_cases","estimate"
2021-04-26,121,121.8,12.7,101,113,118,125,130,143,"reported_cases","estimate"
2021-04-27,119,119.6,12.8,99,111,116,122,128,142,"reported_cases","estimate"
2021-04-28,113,113.1,12.4,93,104,110,116,121,133,"reported_cases","estimate"
2021-04-29,114,114.2,12.8,94,105,111,117,123,136,"reported_cases","estimate"
2021-04-30,111,111.7,12.4,91,103,109,115,120,132,"reported_cases","estimate"
2021-05-01,109,109.8,11.9,91,102,106,113,118,130,"reported_cases","estimate"
2021-05-02,112,112.2,11.7,94,104,109,115,120,132,"reported_cases","estimate"
2021-05-03,106,106.2,11.7,88,98,103,109,114,126,"reported_cases","estimate"
2021-05-04,96,95.9,10.9,78,88,93,99,103,114,"reported_cases","estimate"
2021-05-05,90,90,10.7,72,83,87,93,97,108,"reported_cases","estimate"
2021-05-06,89,89,10.6,72,81,86,92,96,107,"reported_cases","estimate"
2021-05-07,87,87.6,10.7,70,81,85,90,95,105,"reported_cases","estimate"
2021-05-08,96,96.5,10.7,79,89,94,99,104,114,"reported_cases","estimate"
2021-05-09,87,87.4,10.5,71,80,85,90,94,106,"reported_cases","estimate"
2021-05-10,81,81.3,10.4,65,74,78,83,88,99,"reported_cases","estimate"
2021-05-11,83,83.7,10,68,77,81,86,90,101,"reported_cases","estimate"
2021-05-12,75,75.2,9.5,60,69,73,77,81,91,"reported_cases","estimate"
2021-05-13,80,80.1,10,64,73,77,82,87,97,"reported_cases","estimate"
2021-05-14,77,77.5,9.7,62,71,75,80,84,94,"reported_cases","estimate"
2021-05-15,71,70.7,9.4,56,64,68,73,77,86,"reported_cases","estimate"
2021-05-16,65,65.3,8.7,51,59,63,67,71,79,"reported_cases","estimate"
2021-05-17,66,66.3,8.8,52,60,64,68,72,81,"reported_cases","estimate"
2021-05-18,70,70.2,9,56,64,68,72,76,86,"reported_cases","estimate"
2021-05-19,61,61.3,8.5,47,56,59,63,67,76,"reported_cases","estimate"
2021-05-20,57,57.3,8.2,44,52,55,59,62,71,"reported_cases","estimate"
2021-05-21,63,63.1,8.6,50,57,61,65,69,78,"reported_cases","estimate"
2021-05-22,59,59.1,8.4,45,53,57,61,65,73,"reported_cases","estimate"
2021-05-23,58,58,8,45,52.8,56,60,63,71,"reported_cases","estimate"
2021-05-24,57,57.5,8.2,45,52,55,59,63,72,"reported_cases","estimate"
2021-05-25,55,54.9,8,42,50,53,57,60,69,"reported_cases","estimate"
2021-05-26,50,50.5,7.6,39,45,48,52,55,64,"reported_cases","estimate"
2021-05-27,46,46,7.1,35,41,44,48,51,58,"reported_cases","estimate"
2021-05-28,41,41,6.6,30,36,39,42,45,52,"reported_cases","estimate"
2021-05-29,33,33.3,6.1,24,29,32,35,37,44,"reported_cases","estimate"
2021-05-30,35,35.6,6.2,26,31,34,37,40,46,"reported_cases","estimate"
2021-05-31,34,34.3,6.2,24.9,30,33,36,38,45,"reported_cases","estimate"
2021-06-01,33,33.3,6,24,29,32,35,37,43,"reported_cases","estimate"
2021-06-02,28,28.4,5.6,20,25,27,30,32,38,"reported_cases","estimate"
2021-06-03,29,29.1,5.6,20,25,27,30,33,38,"reported_cases","estimate"
2021-06-04,27.5,27.8,5.5,19,24,26,29,31,37,"reported_cases","estimate"
2021-06-05,28,28.3,5.5,20,24,27,29,32,38,"reported_cases","estimate"
2021-06-06,29,29.5,5.7,21,26,28,31,33,39,"reported_cases","estimate"
2021-06-07,26,26.3,5.2,18,23,25,27,30,35,"reported_cases","estimate"
2021-06-08,25,25.4,5.2,17,22,24,26,29,34,"reported_cases","estimate"
2021-06-09,24,23.7,5.1,16,20,22,25,27,32,"reported_cases","estimate"
2021-06-10,23,22.9,5,15,19.8,21,24,26,32,"reported_cases","estimate"
2021-06-11,21,20.9,4.8,13,18,20,22,24,29,"reported_cases","estimate"
2021-06-12,16,16.3,4.2,10,13,15,17,19,24,"reported_cases","estimate"
2021-06-13,17,17.2,4.1,11,14,16,18,20,24,"reported_cases","estimate"
2021-06-14,16,15.7,4,9,13,15,17,18,23,"reported_cases","estimate"
2021-06-15,14,14.6,3.9,9,12,14,15,17,21,"reported_cases","estimate"
2021-06-16,14,14.3,3.9,8,12,13,15,17,21,"reported_cases","estimate"
2021-06-17,13,12.9,3.7,7,10,12,14,15,19,"reported_cases","estimate"
