"date","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90","variable","type"
2021-07-12,0,0,0.1,0,0,0,0,0,0,"reported_cases","estimate"
2021-07-13,1,1,1,0,0,1,1,2,3,"reported_cases","estimate"
2021-07-14,1,1.1,1,0,0,1,1,2,3,"reported_cases","estimate"
2021-07-15,0,0,0.1,0,0,0,0,0,0,"reported_cases","estimate"
2021-07-16,0,0.1,0.3,0,0,0,0,0,1,"reported_cases","estimate"
2021-07-17,0,0.1,0.2,0,0,0,0,0,1,"reported_cases","estimate"
2021-07-18,0,0,0.2,0,0,0,0,0,0,"reported_cases","estimate"
2021-07-19,0,0,0.1,0,0,0,0,0,0,"reported_cases","estimate"
2021-07-20,0,0.1,0.3,0,0,0,0,0,1,"reported_cases","estimate"
2021-07-21,0,0.1,0.4,0,0,0,0,0,1,"reported_cases","estimate"
2021-07-22,0,0.1,0.2,0,0,0,0,0,1,"reported_cases","estimate"
2021-07-23,1,0.9,1,0,0,0,1,1,3,"reported_cases","estimate"
2021-07-24,1,1,1,0,0,1,1,1,3,"reported_cases","estimate"
2021-07-25,1,1,1,0,0,1,1,2,3,"reported_cases","estimate"
2021-07-26,1,1.1,1.1,0,0,1,1,2,3,"reported_cases","estimate"
2021-07-27,2,1.9,1.4,0,1,1,2,3,4,"reported_cases","estimate"
2021-07-28,2,2.1,1.5,0,1,2,2,3,5,"reported_cases","estimate"
2021-07-29,1,1.1,1.1,0,0,1,1,2,3,"reported_cases","estimate"
2021-07-30,1,0.9,0.9,0,0,0,1,1,3,"reported_cases","estimate"
2021-07-31,1,1,1,0,0,1,1,2,3,"reported_cases","estimate"
2021-08-01,0,0,0.1,0,0,0,0,0,0,"reported_cases","estimate"
2021-08-02,0,0,0.2,0,0,0,0,0,0,"reported_cases","estimate"
2021-08-03,1,1,1,0,0,1,1,2,3,"reported_cases","estimate"
2021-08-04,1,1.1,1.1,0,0,1,1,2,3,"reported_cases","estimate"
2021-08-05,3,3.4,1.9,1,2,3,4,5,7,"reported_cases","estimate"
2021-08-06,2,2.6,1.7,0,1,2,3,4,6,"reported_cases","estimate"
2021-08-07,4,4,2.1,1,2,3,4,5,8,"reported_cases","estimate"
2021-08-08,4,4,2.1,1,2,3,4,5,8,"reported_cases","estimate"
2021-08-09,3,3.3,1.9,0,2,3,4,4,7,"reported_cases","estimate"
2021-08-10,3,2.9,1.8,0,2,2,3,4,6,"reported_cases","estimate"
2021-08-11,4,4.4,2.3,1,3,4,5,6,8,"reported_cases","estimate"
2021-08-12,4,4.6,2.3,1,3,4,5,6,9,"reported_cases","estimate"
2021-08-13,2,2.7,1.7,0,2,2,3,4,6,"reported_cases","estimate"
2021-08-14,3,3,1.8,0,2,2,3,4,6,"reported_cases","estimate"
2021-08-15,4,4,2.1,1,2,3,4,5,8,"reported_cases","estimate"
2021-08-16,4,4.4,2.2,1,3,4,5,6,8,"reported_cases","estimate"
2021-08-17,3,2.9,1.7,0,2,2,3,4,6,"reported_cases","estimate"
2021-08-18,3,3.3,1.9,1,2,3,4,4,7,"reported_cases","estimate"
2021-08-19,2,2.3,1.5,0,1,2,3,3,5,"reported_cases","estimate"
2021-08-20,4,4.3,2.2,1,3,4,5,6,8,"reported_cases","estimate"
2021-08-21,5,4.9,2.4,2,3,4,5,6,9,"reported_cases","estimate"
2021-08-22,6,6.1,2.6,2,4,5,7,8,11,"reported_cases","estimate"
2021-08-23,5,5.2,2.4,2,3,4,6,7,9,"reported_cases","estimate"
2021-08-24,3,2.9,1.8,0,2,2,3,4,6,"reported_cases","estimate"
2021-08-25,3,3.2,1.9,1,2,3,4,4,7,"reported_cases","estimate"
2021-08-26,6,5.9,2.7,2,4,5,6,8,10,"reported_cases","estimate"
2021-08-27,7,6.8,2.9,2,5,6,7,9,12,"reported_cases","estimate"
2021-08-28,9,8.8,3.3,4,7,8,9,11,15,"reported_cases","estimate"
2021-08-29,11,11.1,3.8,5,8,10,12,13,18,"reported_cases","estimate"
2021-08-30,10,10.6,3.7,5,8,9,11,13,17,"reported_cases","estimate"
2021-08-31,8,8.5,3.3,4,6,7,9,11,14,"reported_cases","estimate"
2021-09-01,7,7.7,3.1,3,6,7,8,10,13,"reported_cases","estimate"
2021-09-02,10,10.2,3.6,5,8,9,11,12,16,"reported_cases","estimate"
2021-09-03,9,8.7,3.2,4,6,8,9,11,14,"reported_cases","estimate"
2021-09-04,5,5,2.4,1,3,4,5,6,9,"reported_cases","estimate"
2021-09-05,5,5,2.4,1,3,4,5,6,9,"reported_cases","estimate"
2021-09-06,7,7.5,3.1,3,5,6,8,9,13,"reported_cases","estimate"
2021-09-07,7,7.7,3.1,3,6,7,8,9,13,"reported_cases","estimate"
2021-09-08,9,8.8,3.3,4,6,8,9,11,14,"reported_cases","estimate"
2021-09-09,8,8.3,3.2,4,6,7,9,10,14,"reported_cases","estimate"
2021-09-10,8,8.7,3.3,4,6,8,9,11,14,"reported_cases","estimate"
2021-09-11,7,6.9,2.9,3,5,6,7,9,12,"reported_cases","estimate"
2021-09-12,7,7.3,2.9,3,5,6,8,9,12,"reported_cases","estimate"
2021-09-13,8,8.3,3.1,4,6,7,9,10,14,"reported_cases","estimate"
2021-09-14,12,12.5,4,6,10,11,13,15,19,"reported_cases","estimate"
2021-09-15,10,10.6,3.7,5,8,9,11,13,17,"reported_cases","estimate"
2021-09-16,12,12.6,4.1,6,10,11,13,15,20,"reported_cases","estimate"
2021-09-17,9,9.7,3.6,4,7,9,10,12,16,"reported_cases","estimate"
2021-09-18,8,8.6,3.3,4,6,7,9,11,14,"reported_cases","estimate"
2021-09-19,8,8.2,3.1,3,6,7,9,10,14,"reported_cases","estimate"
2021-09-20,10,9.7,3.6,4,7,9,10,12,16,"reported_cases","estimate"
2021-09-21,10,10.3,3.7,5,8,9,11,13,17,"reported_cases","estimate"
2021-09-22,13,12.8,3.9,7,10,12,14,15,20,"reported_cases","estimate"
2021-09-23,16,16.7,4.8,9,13,15,18,20,25,"reported_cases","estimate"
2021-09-24,13.5,13.7,4.4,7,11,12,15,17,22,"reported_cases","estimate"
2021-09-25,14,14.3,4.4,8,11,13,15,17,22,"reported_cases","estimate"
2021-09-26,16,15.8,4.7,9,13,14,17,19,24,"reported_cases","estimate"
2021-09-27,17,17.7,5.1,10,14,16,19,21,27,"reported_cases","estimate"
2021-09-28,16,16,4.8,8.9,13,15,17,19,24,"reported_cases","estimate"
2021-09-29,19,19.2,5.3,11,16,18,20,22,28,"reported_cases","estimate"
2021-09-30,20,20.2,5.5,12,16,18,21,24,30,"reported_cases","estimate"
2021-10-01,17,17.1,4.8,10,14,16,18,20,25,"reported_cases","estimate"
2021-10-02,18,18.5,5.4,10,15,17,19,22,28,"reported_cases","estimate"
2021-10-03,15,14.9,4.5,8,12,14,16,18,22,"reported_cases","estimate"
2021-10-04,15,15.6,4.7,9,12,14,17,19,24,"reported_cases","forecast"
2021-10-05,14,14,4.5,7,11,13,15,17,22,"reported_cases","forecast"
2021-10-06,15,15.5,4.7,8,12,14,16,18,23,"reported_cases","forecast"
2021-10-07,17,16.8,5.1,9,13,15,18,20,26,"reported_cases","forecast"
2021-10-08,12,12.6,4.2,6,10,11,13,15,20,"reported_cases","forecast"
2021-10-09,14,14.5,4.6,8,11,13,15,17,22,"reported_cases","forecast"
2021-10-10,15,15,4.6,8,12,13,16,18,23,"reported_cases","forecast"
2021-10-11,15,15.5,4.9,8,12,14,16,19,24,"reported_cases","forecast"
2021-10-12,14,13.9,4.6,7,11,12,15,17,22,"reported_cases","forecast"
2021-10-13,15,15.6,4.8,8,12,14,16,18,24,"reported_cases","forecast"
2021-10-14,16,16.7,5.3,9,13,15,18,20,26,"reported_cases","forecast"
2021-10-15,12,12.7,4.4,6,10,11,13,15,21,"reported_cases","forecast"
2021-10-16,14,14.2,5,7,11,13,15,17,23,"reported_cases","forecast"
2021-10-17,14,14.8,5.2,8,11,13,15.4,18,24,"reported_cases","forecast"
